1132	425	147	283
1129	450	156	254
1145	452	140	249
1125	462	159	243
1130	452	153	247
1135	444	148	264
1153	445	129	259
1142	454	137	248
1136	455	150	255
1134	452	152	251
1134	447	148	261
1129	447	150	263
1129	473	149	229
1135	466	141	247
1123	465	151	241
1121	457	154	249
1119	446	152	263
1127	438	144	273
1127	432	152	275
1098	430	178	278
1098	436	185	270
1089	443	187	260
1094	437	186	269
1086	434	189	276
1091	415	181	293
1085	415	187	290
1079	415	199	289
1053	413	220	285
1078	404	199	305
1093	398	190	308
1065	393	209	315
1066	404	212	294
1039	414	233	283
1064	414	212	287
1065	424	214	273
1062	423	221	277
1037	409	246	287
1035	401	247	299
1035	413	248	284
1048	402	237	297
1057	397	228	310
1059	410	220	299
1048	405	234	304
1025	415	253	289
1021	405	261	294
1008	379	273	316
1009	370	278	317
1032	384	249	326
1016	388	264	299
1026	386	254	312
1013	354	265	344
993	335	289	350
995	344	284	344
997	366	287	309
1007	362	267	323
1000	350	276	338
1000	364	272	324
985	373	283	318
994	360	276	330
1004	352	267	339
1005	378	267	314
985	366	284	315
1000	365	274	332
1013	335	256	347
1003	366	262	311
1024	364	244	311
1009	373	266	299
1016	394	261	295
1017	370	255	291
1022	393	256	290
1014	383	260	290
1019	383	255	286
1006	378	268	295
1000	370	279	304
1001	386	281	285
1018	385	262	287
983	354	297	315
1026	376	253	290
1026	380	245	304
1024	350	252	323
1002	375	278	300
1017	342	258	319
998	343	273	320
998	341	285	319
971	350	306	306
972	349	304	311
989	355	291	314
990	344	287	325
997	342	279	323
1031	328	243	338
1020	331	245	330
1004	327	271	328
993	335	285	332
989	342	292	322
991	372	290	299
998	365	282	291
1012	356	268	305
986	331	291	321
1027	344	250	317
1017	356	261	291
1012	362	266	298
1004	339	251	319
1010	339	256	300
1013	373	264	278
994	346	277	300
984	360	289	290
985	310	285	325
1002	304	273	342
993	289	279	344
1012	323	259	315
1005	320	265	329
1000	281	273	368
993	272	278	355
995	288	277	344
980	287	294	357
972	279	300	349
965	261	313	381
987	269	291	378
970	260	308	366
957	263	322	372
972	264	303	358
985	252	294	389
995	273	286	339
992	272	286	360
977	266	301	357
978	254	300	355
947	264	326	355
953	265	313	354
971	269	298	359
969	263	305	363
969	262	299	354
961	263	318	356
956	239	318	378
947	252	338	357
